"date","state","baseline","normalLower","normalUpper","treshold","deaths","zscore","deathsReported","deathsCovid","deathsNonCovid","dateByMonth"
"2021 week 52","United States","2791","2495","3087","3383","4327","10.378378378378379",,"0","0","12/2021"
"2022 week 1","United States","2797","2423","3171","3545","4272","7.887700534759358",,"0","0","1/2022"
"2022 week 2","United States","2700","2348","3052","3404","4195","8.494318181818182",,"0","0","1/2022"
"2022 week 3","United States","2665","2335","2995","3325","4044","8.357575757575757",,"0","0","1/2022"
"2022 week 4","United States","2635","2311","2959","3283","3839","7.432098765432099","3839","0","0","1/2022"
"2022 week 5","United States","2672","2490","2854","3036","3822","12.637362637362637","3665","0","0","1/2022"
"2022 week 6","United States","2728","2512","2944","3160","3884","10.703703703703704","3676","0","0","2/2022"
"2022 week 7","United States","2654","2426","2882","3110","3694","9.12280701754386","3466","0","0","2/2022"
"2022 week 8","United States","2622","2390","2854","3086","3462","7.241379310344827","3170","0","0","2/2022"
"2022 week 9","United States","2745","2601","2889","3033","3442","9.680555555555555","3028","0","0","2/2022"
"2022 week 10","United States","2749","2577","2921","3093","3796","12.174418604651162","3126","0","0","3/2022"
"2022 week 11","United States","2695","2533","2857","3019","3814","13.814814814814815","2818","0","0","3/2022"
"2022 week 12","United States","2648","2372","2924","3200","3811","8.427536231884059","2305","0","0","3/2022"
